Part/Designator,Manufacture Part Number/Seeed SKU,Quantity
"R3,R4,R5",301010298,3
"R1,R2",301010299,2
"C6,C11",302010139,2
"C3,C5,C7,C8",302010143,4
"C4,C10,C12",302010165,3
"C1,C2,C9",302010181,3
"C13,C14",302030059,2
"D1,D2,D3",304090042,3
Y1,306010047,1
Y2,306010054,1
U3,310010049,1
U2,310070026,1
K1,311020004,1
"J4,J5",320020016,2
"J12,J14",320020017,2
J10,320020077,1
"CN1,CN2,CN3,CN4,CN7,CN8,CN9,CN12",320020079,8
"CN5,CN6,CN10,CN11",320030061,4
J15,320110031,1
"J2,J3,J6,J7,J8,J11,J13",320110118,7
U1,CJ7805(TO-252-2),1
J1,PJ-202AH,1
J9,UJ2-BH-1-TH,1
